ATL	-179.341550117
BOS	106.695188507
BRK	-120.178836704
CHH	-21.0311677062
CHI	-29.1401137151
CLE	449.004492829
DAL	67.2919345539
DEN	-163.181818182
DET	317.292897941
GSW	36.5649146144
HOU	108.533255371
IND	199.052439164
LAC	-148.168997669
LAL	375.719271206
MEM	58.2405594406
MIA	33.267555892
MIL	218.961072261
MIN	-24.2258646759
NOP	107.492307692
NYK	187.482711208
OKC	572.843356643
ORL	45.6973579349
PHI	-24.080011655
PHO	557.071110671
POR	123.608193295
SAC	-22.5023779785
SAS	497.222528172
TOR	6.25099067599
UTA	489.891909217
WAS	-221.25921126
